time_real,4.06.1+multicore+bench,
almabench,2513882848.8,57917591.1987
bdd,349721383.643,20909482.6945
jsontrip-sample,43783002.7717,3440809.21297
kb,744911249.5,20853823.64
kb-no-exc,521955727.636,26277806.0395
lexifi-g2pp,14888265049.3,97884668.2215
menhir-fancy,40835483.1531,2251426.9013
menhir-sql,6311289827.,114746662.537
menhir-standard,32708503.7561,4059500.31254
minilight,21525206539.8,164692447.195
sequence,1417083292.57,47208441.1489
sequence-cps,1804041336.33,11608982.3671
setrip,1488717357.25,21980251.8634
setrip-smallbuf,1513235121.14,48075888.0204

