time_real,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,1.,0.0230390971586,0.92066566763,0.00424260985413
bdd,1.,0.0597889739447,0.9126452982,0.0421327134581
cpdf-merge,,,1.,0.0676386188756
cpdf-reformat,,,1.,0.0252295601045
cpdf-squeeze,,,1.,0.00578848648372
cpdf-transform,,,1.,0.000465182160687
jsontrip-sample,1.,0.0785877851025,0.743042832951,0.0557033296392
kb,1.,0.0279950445828,0.816164453888,0.0255354649718
kb-no-exc,1.,0.0503448944961,0.829341859242,0.0383415443208
lexifi-g2pp,1.,0.00657461886238,0.96771737051,0.0155185762981
menhir-fancy,1.,0.0551340826031,0.613304343061,0.0888539058798
menhir-sql,1.,0.0181811746381,0.716604836038,0.00234562379534
menhir-standard,1.,0.124111464799,0.617814660435,0.0685912811476
minilight,1.,0.00765114364368,0.794482275579,0.00187254821283
numal-durand-kerner-aberth,,,1.,0.131699548021
numal-fft,,,1.,0.155487116984
numal-k-means,,,1.,0.122632088479
numal-levinson-durbin,,,1.,0.00853053276164
numal-lu-decomposition,,,1.,0.0200343052983
numal-naive-multilayer,,,1.,0.0323979127568
numal-qr-decomposition,,,1.,0.00232996947403
numal-rnd_access,,,1.,0.00242020056688
numal-simple_access,,,1.,0.00698803085494
sequence,1.,0.0333138082965,0.899855915446,0.00846883564813
sequence-cps,1.,0.00643498690042,0.760407481565,0.0169636557048
setrip,1.,0.0147645567215,0.889485669247,0.0208925222283
setrip-smallbuf,1.,0.0317702697675,0.878576949868,0.0201832564347

size,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,1.,0.,0.821161905433,0.
bdd,1.,0.,0.818100146889,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,1.,0.,0.786203892864,0.
kb,1.,0.,0.823137015148,0.
kb-no-exc,1.,0.,0.823431361124,0.
lexifi-g2pp,1.,0.,0.820266514916,0.
menhir-fancy,1.,0.,0.77534133527,0.
menhir-sql,1.,0.,0.77534133527,0.
menhir-standard,1.,0.,0.77534133527,0.
minilight,1.,0.,0.765797476893,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,1.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,1.,0.
numal-simple_access,,,1.,0.
sequence,1.,0.,0.816099136478,0.
sequence-cps,1.,0.,0.822844950479,0.
setrip,1.,0.,0.784990052961,0.
setrip-smallbuf,1.,0.,0.784990052961,0.

code_size,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,1.,0.,0.846041946032,0.
bdd,1.,0.,0.842302152152,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,1.,0.,0.790976588639,0.
kb,1.,0.,0.846131536321,0.
kb-no-exc,1.,0.,0.846399607492,0.
lexifi-g2pp,1.,0.,0.836010664868,0.
menhir-fancy,1.,0.,0.768828200661,0.
menhir-sql,1.,0.,0.768828200661,0.
menhir-standard,1.,0.,0.768828200661,0.
minilight,1.,0.,0.77060691417,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,1.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,1.,0.
numal-simple_access,,,1.,0.
sequence,1.,0.,0.835887104636,0.
sequence-cps,1.,0.,0.850005891749,0.
setrip,1.,0.,0.79321552648,0.
setrip-smallbuf,1.,0.,0.79321552648,0.

data_size,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,1.,0.,0.760403136199,0.
bdd,1.,0.,0.756085405927,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,1.,0.,0.771862572995,0.
kb,1.,0.,0.763809694847,0.
kb-no-exc,1.,0.,0.764065227446,0.
lexifi-g2pp,1.,0.,0.779280164564,0.
menhir-fancy,1.,0.,0.792973774663,0.
menhir-sql,1.,0.,0.792973774663,0.
menhir-standard,1.,0.,0.792973774663,0.
minilight,1.,0.,0.751087643625,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,1.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,1.,0.
numal-simple_access,,,1.,0.
sequence,1.,0.,0.762421199599,0.
sequence-cps,1.,0.,0.755045346842,0.
setrip,1.,0.,0.760637165126,0.
setrip-smallbuf,1.,0.,0.760637165126,0.

minor_words,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,1.,0.,0.915253884277,0.
bdd,1.,0.,0.979868731011,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,1.,0.,0.925306681201,0.
kb,1.,0.,0.989594610055,0.
kb-no-exc,1.,0.,0.997177971549,0.
lexifi-g2pp,1.,0.,0.999756451132,0.
menhir-fancy,1.,0.,0.83818082342,0.
