time_real,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,0.996477927376,0.00584839992913,1.,0.0156717850066,0.929145322151,0.000896558706436
bdd,0.996264092865,0.00953531990222,1.,0.00435349799514,0.898066903635,0.00464594647087
cpdf-merge,,,,,1.,0.000394663604872
cpdf-reformat,,,,,1.,0.000123959054016
cpdf-squeeze,,,,,1.,0.000417291130329
cpdf-transform,,,,,1.,0.00446918007606
frama-c-deflate,,,,,1.,0.00267078193393
frama-c-idct,,,,,1.,nan
jsontrip-sample,1.,0.0118610817537,0.992041447833,0.0131487960871,0.744872025683,0.017019735865
kb,0.991677556555,0.00546325022749,1.,0.0184033191025,0.81790874664,0.00973203023217
kb-no-exc,0.973707066289,0.00412612560707,1.,0.0145220623055,0.818504843386,0.0102051461049
lexifi-g2pp,0.999166783088,0.00117068035695,1.,0.000368687063478,0.970708237498,0.000460854072828
menhir-fancy,0.979178482054,0.0995551824002,1.,0.100656706671,0.543144823375,0.00942713172422
menhir-sql,0.987904373182,0.00639386823337,1.,0.00495357259322,0.766585522652,0.00483754915445
menhir-standard,0.993371467531,0.00635932295432,1.,0.0178116755846,0.533603159745,0.00473412552429
minilight,1.,0.0020479545089,0.996398110838,0.00106129384328,0.822038658536,0.00438256604794
numal-durand-kerner-aberth,0.997405557735,0.00227052691282,1.,0.00151190518604,0.87657058461,0.00305671661944
numal-fft,0.950350710432,0.014473080746,1.,0.00405584831992,0.352463761442,0.000856612522133
numal-k-means,1.,0.0293208648549,0.986472259982,0.0163321244033,0.325071606549,0.00317215675993
numal-levinson-durbin,1.,0.000117034979944,0.998301269945,0.000260049446255,0.87454941253,0.000555287635525
numal-lu-decomposition,0.99740339861,0.00271537058159,1.,0.00768265311188,0.825499132538,0.0227825959538
numal-naive-multilayer,1.,0.00209610937354,0.983462094849,0.000724085279135,0.847311299449,0.00210947733599
numal-qr-decomposition,1.,0.00131443068808,0.999927876089,0.00107611552782,0.89611858341,0.000591873939972
numal-rnd_access,1.,0.00828553117578,0.995722284339,0.00136655185968,0.721619743348,0.000383808584776
numal-simple_access,0.986243581453,0.00270933920772,1.,0.00241230203587,0.365155736811,0.00108790040036
sauvola-contrast,,,,,1.,nan
sequence,1.,0.00179553173684,0.998727135862,0.000295417053307,0.997482282579,0.0012094182686
sequence-cps,0.992299222471,0.00143346787283,1.,0.0162918282426,0.703175796416,0.0261378867645
setrip,1.,0.011943677647,0.993579465865,0.00827141444029,0.889450684686,0.0050178893927
setrip-smallbuf,1.,0.0151292392884,0.999436377911,0.00950344614399,0.903861459711,0.0142411582962

size,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,0.999945442146,0.,1.,0.,0.821142305069,0.
bdd,0.999947540812,0.,1.,0.,0.818081370759,0.
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,0.
frama-c-idct,,,,,1.,0.
jsontrip-sample,0.999973163773,0.,1.,0.,0.786194662163,0.
kb,0.999949837285,0.,1.,0.,0.823118950429,0.
kb-no-exc,0.999950057694,0.,1.,0.,0.823413369347,0.
lexifi-g2pp,0.999956366492,0.,1.,0.,0.820250856308,0.
menhir-fancy,0.999981039657,0.,1.,0.,0.775337476326,0.
menhir-sql,0.999981039657,0.,1.,0.,0.775337476326,0.
menhir-standard,0.999981039657,0.,1.,0.,0.775337476326,0.
minilight,0.999972514258,0.,1.,0.,0.765788268169,0.
numal-durand-kerner-aberth,0.999954382554,0.,1.,0.,0.802507819115,0.
numal-fft,0.999947320883,0.,1.,0.,0.8187498148,0.
numal-k-means,0.999996613911,0.,1.,0.,0.593664302847,0.
numal-levinson-durbin,0.999921402957,0.,1.,0.,0.824042507901,0.
numal-lu-decomposition,0.99997118531,0.,1.,0.,0.726842144125,0.
numal-naive-multilayer,0.999963967481,0.,1.,0.,0.806852934774,0.
numal-qr-decomposition,0.999957345883,0.,1.,0.,0.816410460567,0.
numal-rnd_access,0.999919070389,0.,1.,0.,0.772242154886,0.
numal-simple_access,0.999902906141,0.,1.,0.,0.784202829072,0.
sauvola-contrast,,,,,1.,0.
sequence,0.999954417426,0.,1.,0.,0.816082861522,0.
sequence-cps,0.999943913767,0.,1.,0.,0.822824759735,0.
setrip,0.999967739789,0.,1.,0.,0.784978973735,0.
setrip-smallbuf,0.999967739789,0.,1.,0.,0.784978973735,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,0.999923102063,0.,1.,0.,0.846013482772,0.
bdd,0.99992706863,0.,1.,0.,0.842275276417,0.
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,0.
frama-c-idct,,,,,1.,0.
jsontrip-sample,0.999964232995,0.,1.,0.,0.790964211386,0.
kb,0.999930395441,0.,1.,0.,0.846105769928,0.
kb-no-exc,0.999930736031,0.,1.,0.,0.846373959056,0.
lexifi-g2pp,0.999939605929,0.,1.,0.,0.835988575455,0.
menhir-fancy,0.999984421639,0.,1.,0.,0.768822960687,0.
menhir-sql,0.999984421639,0.,1.,0.,0.768822960687,0.
menhir-standard,0.999984421639,0.,1.,0.,0.768822960687,0.
minilight,0.999963527831,0.,1.,0.,0.770594617924,0.
numal-durand-kerner-aberth,0.999937712249,0.,1.,0.,0.823135228006,0.
numal-fft,0.999926832503,0.,1.,0.,0.843313329136,0.
numal-k-means,0.999995811034,0.,1.,0.,0.625873726751,0.
numal-levinson-durbin,0.999858267438,0.,1.,0.,0.83782546816,0.
numal-lu-decomposition,0.999960332578,0.,1.,0.,0.737058710263,0.
numal-naive-multilayer,0.999947159725,0.,1.,0.,0.807281610043,0.
numal-qr-decomposition,0.999939032367,0.,1.,0.,0.828052223858,0.
numal-rnd_access,0.999884270421,0.,1.,0.,0.810924390009,0.
numal-simple_access,0.999857259683,0.,1.,0.,0.838504200431,0.
sauvola-contrast,,,,,1.,0.
sequence,0.999937614211,0.,1.,0.,0.835864290115,0.
sequence-cps,0.999921446047,0.,1.,0.,0.849976679295,0.
setrip,0.99995684373,0.,1.,0.,0.793200549883,0.
setrip-smallbuf,0.99995684373,0.,1.,0.,0.793200549883,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,0.760403136199,0.
bdd,1.,0.,1.,0.,0.756085405927,0.
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,0.
frama-c-idct,,,,,1.,0.
jsontrip-sample,1.,0.,1.,0.,0.771862572995,0.
kb,1.,0.,1.,0.,0.763809694847,0.
kb-no-exc,1.,0.,1.,0.,0.764065227446,0.
lexifi-g2pp,1.,0.,1.,0.,0.779280164564,0.
menhir-fancy,0.999971883852,0.,1.,0.,0.792973774663,0.
menhir-sql,0.999971883852,0.,1.,0.,0.792973774663,0.
menhir-standard,0.999971883852,0.,1.,0.,0.792973774663,0.
minilight,1.,0.,1.,0.,0.751087643625,0.
numal-durand-kerner-aberth,1.,0.,1.,0.,0.746061957587,0.
numal-fft,1.,0.,1.,0.,0.755592832395,0.
numal-k-means,1.,0.,1.,0.,0.457822899905,0.
numal-levinson-durbin,1.,0.,1.,0.,0.8068841805,0.
numal-lu-decomposition,1.,0.,1.,0.,0.699716514977,0.
numal-naive-multilayer,1.,0.,1.,0.,0.805933939377,0.
numal-qr-decomposition,1.,0.,1.,0.,0.789295561314,0.
numal-rnd_access,1.,0.,1.,0.,0.682284073833,0.
numal-simple_access,1.,0.,1.,0.,0.668699238418,0.
sauvola-contrast,,,,,1.,0.
sequence,1.,0.,1.,0.,0.762421199599,0.
sequence-cps,1.,0.,1.,0.,0.755045346842,0.
setrip,1.,0.,1.,0.,0.760637165126,0.
setrip-smallbuf,1.,0.,1.,0.,0.760637165126,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,0.999998747211,0.,1.,0.,0.915252737657,0.
bdd,0.999999974475,0.,1.,0.,0.979868706,0.
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,2.84666487242e-05
frama-c-idct,,,,,1.,nan
jsontrip-sample,0.999999224688,0.,1.,0.,0.925306202934,0.
kb,0.999994220554,0.,1.,0.,0.98958891237,0.
kb-no-exc,0.999999893644,0.,1.,0.,0.997177918521,0.
lexifi-g2pp,0.999999997618,0.,1.,0.,0.999756448751,0.
menhir-fancy,0.999987267687,0.,1.,0.,0.838174545784,0.
menhir-sql,0.999999988384,0.,1.,0.,0.999138885711,0.
menhir-standard,0.999989387569,0.,1.,0.,0.460547003259,0.
minilight,0.999999999282,0.,1.,0.,0.999984912356,0.
numal-durand-kerner-aberth,0.999999948703,0.,1.,0.,0.992779434873,0.
numal-fft,0.999999984939,0.,1.,0.,0.994919018509,0.
numal-k-means,0.999999961261,0.,1.,0.,0.992640174027,0.
numal-levinson-durbin,0.999999996008,0.,1.,0.,0.998854536665,0.
numal-lu-decomposition,0.999999992641,0.,1.,0.,0.997483915776,0.
numal-naive-multilayer,0.999999998158,0.,1.,0.,0.99982262706,0.
numal-qr-decomposition,0.999999997664,0.,1.,0.,0.999434209539,0.
numal-rnd_access,0.999980383441,0.000542887954115,1.,0.000290249357062,0.991170650313,5.16920859164e-05
numal-simple_access,0.999999993758,0.,1.,0.,0.998806182235,0.
sequence,0.999999997341,0.,1.,0.,0.997955872926,0.
sequence-cps,0.999999997338,0.,1.,0.,0.999197183951,0.
setrip,0.999999976798,0.,1.,0.,0.989862849062,0.
setrip-smallbuf,0.999998352652,0.,1.,0.,0.989860721391,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,0.915492957746,0.,1.,0.,0.881690140845,0.
bdd,0.929488403994,0.,0.929491412232,0.,1.,0.
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,3.41004839478e-05
frama-c-idct,,,,,1.,nan
jsontrip-sample,0.998847066802,0.,1.,0.,0.996134282808,0.
kb,1.,0.,0.99994485949,0.,0.998911538633,0.
kb-no-exc,0.988370850814,0.,0.988367233064,0.,1.,0.
lexifi-g2pp,0.999985752956,0.,1.,0.,0.990832027354,0.
menhir-fancy,0.997335369322,0.,0.997390122007,0.,1.,0.
menhir-sql,1.,0.,0.999999982226,0.,0.998232012964,0.
menhir-standard,0.985847335153,0.,0.985909376232,0.,1.,0.
minilight,0.99999906065,0.,1.,0.,0.999639665366,0.
numal-durand-kerner-aberth,1.,0.,0.99998705859,0.,0.98195104696,0.
numal-fft,0.999999971513,0.,1.,0.,0.306180749874,0.
numal-k-means,0.998845707018,0.,0.998871813806,0.,1.,0.
numal-levinson-durbin,0.99997724584,0.,0.999977261836,0.,1.,0.
numal-lu-decomposition,1.,0.,0.999999871399,0.,0.999886573972,0.
numal-naive-multilayer,0.982818699865,0.,0.982826495373,0.,1.,0.
numal-qr-decomposition,0.995983767262,0.,0.995988222318,0.,1.,0.
numal-rnd_access,0.99999999,0.,1.,0.,0.99999959,0.
numal-simple_access,0.999999981818,0.,1.,0.,0.999999590913,0.
sequence,0.978122222803,0.,0.978174499451,0.,1.,0.
sequence-cps,0.904077739626,0.,0.90409569335,0.,1.,0.
setrip,0.999699541801,0.,1.,0.,0.996694959814,0.
setrip-smallbuf,0.996854168227,0.,1.,0.,0.991760916785,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,0.874316010859,0.,0.962038820093,0.,1.,0.
bdd,0.892386872224,0.,0.892390575487,1.3008310431e-16,1.,3.89220986208e-16
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,7.57985044567e-05
frama-c-idct,,,,,1.,nan
jsontrip-sample,0.924879461025,8.38905496099e-16,0.927301011502,2.99602079517e-15,1.,3.83260129352e-15
kb,0.990657101331,1.37880218984e-16,0.990596749986,1.37880218984e-16,1.,1.35951729336e-16
kb-no-exc,0.985565140321,2.31368374561e-16,0.98556142796,1.1568418728e-16,1.,0.
lexifi-g2pp,0.999985751379,0.,1.,0.,0.991348818425,0.
menhir-fancy,0.913225882276,2.94859897452e-15,0.913298301513,1.21419849023e-15,1.,1.00493338254e-14
menhir-sql,1.,0.,0.999999966774,0.,0.998637767227,1.89724972583e-16
menhir-standard,0.487599547007,2.22241938419e-15,0.487656795045,1.34934383272e-15,1.,5.86862576921e-15
minilight,0.999999059883,0.,1.,0.,0.999662269414,0.
numal-durand-kerner-aberth,1.,1.18034924651e-15,0.999987002938,7.37718279066e-16,0.98942572427,1.47354860271e-16
numal-fft,0.999999985468,0.,1.,0.,0.280695736172,0.
numal-k-means,0.990724003553,3.80691051839e-16,0.990762454303,0.,1.,2.48618547111e-16
numal-levinson-durbin,0.857456784051,0.,0.857554837324,0.,1.,0.
numal-lu-decomposition,1.,0.,0.999996641851,0.,0.999821592068,0.
numal-naive-multilayer,0.982578850328,0.,0.982586644783,0.,1.,0.
numal-qr-decomposition,0.995391309994,0.,0.995395760204,0.,1.,0.
numal-rnd_access,0.985934996285,0.000535527113552,1.,0.000290253094682,0.980488004107,5.11349585788e-05
numal-simple_access,0.998806228422,0.,0.998806242163,0.,1.,0.
sequence,0.974088197548,1.4861736989e-16,0.974140364745,1.4861736989e-16,1.,1.4861736989e-16
sequence-cps,0.903002117352,0.,0.903020054259,0.,1.,0.
setrip,0.980892483512,0.,0.981672494519,0.,1.,0.
setrip-smallbuf,0.986332731925,0.,0.994566873791,0.,1.,0.

top_heap_words,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,,,,,1.,0.
bdd,,,,,1.,0.
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,0.
frama-c-idct,,,,,1.,nan
jsontrip-sample,,,,,1.,0.
kb,,,,,1.,0.
kb-no-exc,,,,,1.,0.
lexifi-g2pp,,,,,1.,0.
menhir-fancy,,,,,1.,0.
menhir-sql,,,,,1.,0.
menhir-standard,,,,,1.,0.
minilight,,,,,1.,0.
numal-durand-kerner-aberth,,,,,1.,0.
numal-fft,,,,,1.,0.
numal-k-means,,,,,1.,0.
numal-levinson-durbin,,,,,1.,0.
numal-lu-decomposition,,,,,1.,0.
numal-naive-multilayer,,,,,1.,0.
numal-qr-decomposition,,,,,1.,0.
numal-rnd_access,,,,,1.,0.
numal-simple_access,,,,,1.,0.
sequence,,,,,1.,0.
sequence-cps,,,,,1.,0.
setrip,,,,,1.,0.
setrip-smallbuf,,,,,1.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,1.,0.
bdd,0.989830508475,0.,0.989830508475,0.,1.,0.
cpdf-merge,,,,,1.,0.
cpdf-reformat,,,,,1.,0.
cpdf-squeeze,,,,,1.,0.
cpdf-transform,,,,,1.,0.
frama-c-deflate,,,,,1.,6.10909568132e-05
frama-c-idct,,,,,1.,nan
jsontrip-sample,0.964285714286,0.,0.964285714286,0.,1.,0.
kb,0.896103896104,0.,0.896103896104,0.,1.,0.
kb-no-exc,0.85119047619,0.,0.85119047619,0.,1.,0.
lexifi-g2pp,0.999063816508,0.,0.999063816508,0.,1.,0.
menhir-fancy,1.,0.,1.,0.,0.9,0.
menhir-sql,0.999243761028,0.,0.999243761028,0.,1.,0.
menhir-standard,1.,0.,1.,0.,0.833333333333,0.
