time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1718195742.,8934403.49844
bdd,212114884.526,1069731.68269
jsontrip-sample,19268462.7933,235163.403599
kb,524155292.,1430223.79654
kb-no-exc,356749870.75,2496013.40275
lexifi-g2pp,9957907066.5,9147849.6206
menhir-fancy,19079140.9619,2054115.60363
menhir-sql,4115738664.67,33420889.9468
menhir-standard,14597749.9236,167465.161549
minilight,15181148152.3,68078086.7691
numal-durand-kerner-aberth,87823924.7174,188062.484752
numal-fft,3795112299.33,15850087.1183
numal-k-means,235050328.889,2460031.67493
numal-levinson-durbin,1614589276.,6114671.17561
numal-lu-decomposition,946686523.2,20752025.6253
numal-naive-multilayer,2767915917.33,13098595.4767
numal-qr-decomposition,1309669233.,825549.258212
numal-rnd_access,5522959430.,35984715.1251
numal-simple_access,8102343600.67,53412574.0943
sequence,845606579.,427803.292906
sequence-cps,1238493501.25,618339.687765
setrip,998154018.,10235958.5373
setrip-smallbuf,990232884.8,11849695.3356

