time_real,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.996381390243,0.0127001664057,1.,0.0436428115304,0.991234554423,0.0074815277933,0.925823809072,0.00564959323474
bdd,0.990200468373,0.00902252135075,0.997022130426,0.00400869481882,1.,0.00502808128043,0.901451270969,0.0304465523809
cpdf-merge,0.99024544428,0.0100559965352,1.,0.00277943525143,0.990723770342,0.00391958148828,0.54018898264,0.00266038509289
cpdf-reformat,0.990448963718,0.00250703522146,1.,0.00121950138266,0.995171934848,0.00212607013873,0.741509483492,0.0011049700562
cpdf-squeeze,0.987125277345,0.00161897584018,1.,0.00270369283242,0.991508044624,0.00288471300799,0.68208769848,0.000590406882713
cpdf-transform,0.986723999203,0.0061696134012,1.,0.0055371021618,0.990235793768,0.00732411266793,0.904927235315,0.00584695902188
frama-c-deflate,,,,,,,1.,0.00155737864672
frama-c-idct,,,,,,,1.,nan
jsontrip-sample,0.881330463617,0.0114897587221,0.888738638807,0.0110099247419,1.,0.0230481561333,0.670486664628,0.0145232652997
kb,0.995580936511,0.0049905049744,1.,0.0025521420269,0.990720360207,0.00829485812536,0.819335394317,0.00400670889042
kb-no-exc,0.96011827688,0.0113304606736,1.,0.0221365408201,0.964854688213,0.00827032577028,0.821543465626,0.019355395671
lexifi-g2pp,1.,0.00483751662357,0.997647181213,0.000288094203476,0.993936494565,0.000804375154193,0.969440373823,0.000146246071472
menhir-fancy,0.956491450607,0.0176451072267,0.971076801946,0.0735181834373,1.,0.135044786489,0.539871852478,0.0168640058243
menhir-sql,0.975229757894,0.013049898448,1.,0.016681140064,0.982566417209,0.00707915074723,0.758322307125,0.00538972559247
menhir-standard,0.968365217838,0.00963634704361,0.973912253876,0.00582281071303,1.,0.00681747368841,0.521692513266,0.00447664680376
minilight,0.921997281107,0.00146961713921,0.919517503819,0.000226765420302,1.,0.00166744506489,0.760001619437,0.00163258115555
numal-durand-kerner-aberth,0.98857282824,0.00250665508658,1.,0.00216276353337,0.991753076483,0.00233969375006,0.876207500171,0.00249727019964
numal-fft,0.940409169438,0.00239056786378,1.,0.00311017610977,0.979849738417,0.00479305437958,0.353441773683,0.00281081649291
numal-k-means,0.995329262251,0.0203010639149,1.,0.00617757087309,0.988187735323,0.00314449639532,0.328884346257,0.00405927598886
numal-levinson-durbin,0.997033521454,0.000382231320888,1.,0.000444479054173,0.996145455837,0.000920346302341,0.876292657061,0.00125538593148
numal-lu-decomposition,1.,0.0232196967161,0.999223451765,0.00619488650385,0.984712965145,0.0029449730721,0.819758367998,0.0154642918549
numal-naive-multilayer,0.997074067276,0.00905090899167,1.,0.00462631975438,0.996982716779,0.000997464512232,0.855631924061,0.00202448550623
numal-qr-decomposition,1.,0.000270353936273,0.999892829893,0.000602419182138,0.999440169528,0.000313234916046,0.896693734004,0.00077160924123
numal-rnd_access,0.89319851987,0.000150899892053,0.897502093889,0.000736518202833,1.,0.000268283409084,0.652266943308,0.00028335105496
