time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1710245880.33,970553.027305
bdd,211117035.053,1318306.25361
cpdf-merge,7982420957.67,32081841.6498
cpdf-reformat,9051862852.,21973585.2562
cpdf-squeeze,14036132279.3,14520533.815
cpdf-transform,2499480243.67,12933820.272
jsontrip-sample,19124972.6095,260682.025449
kb,542765919.75,1318344.10423
kb-no-exc,366651245.,2745755.88644
lexifi-g2pp,9968052423.33,45114528.941
menhir-fancy,18948012.0755,1726160.70446
menhir-sql,4247204754.,29785264.7173
menhir-standard,14664071.7619,480827.696082
minilight,15277340929.,1864421.37889
numal-durand-kerner-aberth,86802492.5532,198753.329051
numal-fft,4505133512.,17918853.9453
numal-k-means,228223319.778,2072931.87486
numal-levinson-durbin,1598259339.67,259820.44761
numal-lu-decomposition,929289048.6,11532788.6041
numal-naive-multilayer,2753187255.,7418625.3196
numal-qr-decomposition,1309879380.75,2136883.68786
numal-rnd_access,5486073866.,19739064.2019
numal-simple_access,8471733833.33,16142433.3112
sequence,835904693.8,379072.028054
sequence-cps,1217682705.,11736953.1645
setrip,993376079.8,10739391.4339
setrip-smallbuf,986061968.4,13325688.3953

