time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1.,0.00138135504993,0.978209664311,0.00431430664873,0.996072395069,0.000850978777419,0.997533690794,0.00128991016698,0.952251592211,0.0333309423601
bdd,0.99177560015,0.00591610474466,0.9669937451,0.00504181381251,0.998447694803,0.00479142933284,1.,0.00625367039575,0.896533575152,0.00493997746439
cpdf-merge,1.,0.00308444533211,0.754018723838,0.00633270490092,0.961934209516,0.00468714178169,0.956390308912,0.00040499766861,0.514143419733,0.000762913316222
cpdf-reformat,1.,0.00235889447294,0.869169820286,0.00117982976112,0.970442628998,0.00179354713962,0.965464773728,0.00091930487056,0.719375868692,8.24082740973e-05
cpdf-squeeze,1.,0.00249515447105,0.859287027626,0.00224406979458,0.980009275958,0.00150994406251,0.968836601453,0.00298047958718,0.666958583589,0.00613221224813
cpdf-transform,1.,0.000962220679676,0.861528818847,0.00459594813469,0.938539899118,0.0117540881504,0.925263120709,0.0029510037056,0.849427497386,0.00717189347472
frama-c-deflate,,,,,,,,,1.,0.00320682204181
frama-c-idct,,,,,,,,,1.,nan
jsontrip-sample,0.885502321202,0.0123886981408,0.838474831919,0.0144765891525,0.890844831883,0.0119630841506,1.,0.0228561317178,0.671831333649,0.0166975456657
kb,1.,0.0115026627881,0.855486805121,0.00458929139374,0.96114457714,0.00228453857561,0.947197483219,0.0042119796582,0.787331995549,0.00602240303356
kb-no-exc,1.,0.00539484751789,0.867702405964,0.00471450056859,0.973768904245,0.00585689689565,0.946177712379,0.0126325075855,0.802249863983,0.00927722525261
lexifi-g2pp,0.995467464793,0.00129161529586,0.984196273536,0.00158276429594,1.,0.00498100137754,0.992425787541,0.000121394768266,0.966552742989,0.000665720184088
menhir-fancy,0.983244004388,0.0706259501773,0.950095460193,0.0693542487123,0.983354513375,0.0943239042463,1.,0.0949276266231,0.548584758092,0.0550901909618
menhir-sql,1.,0.0121147433309,0.819874693346,0.00487043636002,0.955478816387,0.00529286665388,0.951063570484,0.00458749249345,0.736991685844,0.00334535396489
menhir-standard,0.975800783002,0.0160061935685,0.963719182853,0.0163222472221,0.972105473646,0.00589761129542,1.,0.0150373610379,0.519049164326,0.00445715897089
minilight,0.927774709309,0.000395960351374,0.900562260459,0.00295302590002,0.919300954084,0.00124420459199,1.,0.000402260937248,0.755868843482,0.00206028528
numal-durand-kerner-aberth,0.989866549725,0.00262606703443,0.942761298805,0.00251990069645,1.,0.00250841714864,0.993764207363,0.00402567871951,0.876343349234,0.00284034643961
numal-fft,1.,0.00270593426443,0.514482768521,0.00205417670625,0.843337979017,0.00464026011435,0.819757328564,0.000245056808667,0.487552096041,0.00395791988726
numal-k-means,0.979809103808,0.013045158228,0.975072219426,0.011514387095,1.,0.00769666434823,0.992252532146,0.0126165933721,0.330391893137,0.00381515108731
numal-levinson-durbin,0.993370258513,0.000775125249566,0.921400985076,0.00207530860434,1.,0.00284175348519,0.993970383926,0.00115845596338,0.873450609769,0.000282558989494
numal-lu-decomposition,0.987764910884,0.00383739761117,0.939642624541,0.0229802306019,1.,0.00303636724086,0.986282153068,0.00186401267966,0.830402582565,0.0188667660459
numal-naive-multilayer,0.992134272154,0.00459123582245,0.914544933374,0.00147503741797,0.994191026362,0.00259981553176,1.,0.00762155247312,0.852786393098,0.000781767494298
numal-qr-decomposition,0.997876699055,0.00133269433392,0.884741836401,0.000358841306384,1.,0.00236246669441,0.999182725685,0.0019633359574,0.895547020622,0.000876977502439
