time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1710635399.,1719395.80824
bdd,213139707.579,1066901.33262
cpdf-merge,7645220776.33,28086330.625
cpdf-reformat,8769471447.33,33242864.1679
cpdf-squeeze,13620377927.,25076508.439
cpdf-transform,2318923781.,1939957.35368
jsontrip-sample,21618193.8656,483633.196455
kb,517374479.5,2773706.37137
kb-no-exc,348916375.5,5504071.21995
lexifi-g2pp,9938852576.67,10622436.136
menhir-fancy,19478480.6311,1230648.90839
menhir-sql,4058046014.33,18959932.2692
menhir-standard,14986702.9663,237039.594716
minilight,16502050746.7,85973067.5127
numal-durand-kerner-aberth,87241778.413,310959.386821
numal-fft,3709746615.33,25603342.6142
numal-k-means,232070328.,823276.140668
numal-levinson-durbin,1602297937.33,3679826.41919
numal-lu-decomposition,931171026.8,9166522.289
numal-naive-multilayer,2784753463.5,30077083.6084
numal-qr-decomposition,1309078389.25,323139.271944
numal-rnd_access,6147216343.5,101283.854017
numal-simple_access,8177023084.,164634887.879
sequence,836091734.4,606744.700831
sequence-cps,1607976148.,853682.752315
setrip,1004689375.,2422117.5519
setrip-smallbuf,1019493438.86,31305792.1227

