time_real,4.06.1+multicore+bench,
almabench,1669562047.,928338.787593
bdd,206303186.2,4872498.66897
cpdf-merge,5967581604.,nan
cpdf-reformat,7857431921.,nan
cpdf-squeeze,12071973313.3,40495660.6043
cpdf-transform,2158822594.33,6377496.20663
jsontrip-sample,17750903.177,300172.0306
kb,464764205.222,2587486.45483
kb-no-exc,316312272.615,2947244.57993
lexifi-g2pp,9810936265.5,6927366.03626
menhir-fancy,15162867.0682,148609.014761
menhir-sql,3438430298.,nan
menhir-standard,11427603.3447,91719.713661
minilight,14501119749.3,33553802.6182
numal-durand-kerner-aberth,82032568.7959,188181.661229
numal-fft,2356763058.25,26158844.0916
numal-k-means,90032764.6667,858573.479803
numal-levinson-durbin,1480392081.67,686630.787747
numal-lu-decomposition,855529629.6,2813182.01318
numal-naive-multilayer,2536147563.,1817777.78717
numal-qr-decomposition,1145470312.75,2244181.79971
numal-rnd_access,5353530269.,2241662.84665
numal-simple_access,2670083946.67,6422380.00222
sequence,894561207.6,339199.339035
sequence-cps,1142525382.25,17805023.158
setrip,972562646.6,15254292.6296
setrip-smallbuf,973639486.8,13938875.237

size,4.06.1+multicore+bench,
almabench,791070.,0.
bdd,823691.,0.
cpdf-merge,5424982.,0.
cpdf-reformat,5424982.,0.
cpdf-squeeze,5424982.,0.
cpdf-transform,5424982.,0.
jsontrip-sample,1655993.,0.
kb,862668.,0.
kb-no-exc,866659.,0.
lexifi-g2pp,1000750.,0.
menhir-fancy,3967811.,0.
menhir-sql,3967811.,0.
menhir-standard,3967811.,0.
minilight,1614934.,0.
numal-durand-kerner-aberth,952635.,0.
numal-fft,820135.,0.
numal-k-means,13644405.,0.
numal-levinson-durbin,538556.,0.
numal-lu-decomposition,1528319.,0.
numal-naive-multilayer,1224336.,0.
numal-qr-decomposition,1024513.,0.
numal-rnd_access,516402.,0.
numal-simple_access,422485.,0.
sequence,952992.,0.
sequence-cps,767871.,0.
setrip,1367595.,0.
setrip-smallbuf,1367595.,0.

code_size,4.06.1+multicore+bench,
almabench,605114.,0.
bdd,637159.,0.
cpdf-merge,3569150.,0.
cpdf-reformat,3569150.,0.
cpdf-squeeze,3569150.,0.
cpdf-transform,3569150.,0.
jsontrip-sample,1287025.,0.
kb,666728.,0.
kb-no-exc,669983.,0.
lexifi-g2pp,767434.,0.
menhir-fancy,2934931.,0.
menhir-sql,2934931.,0.
menhir-standard,2934931.,0.
minilight,1260398.,0.
numal-durand-kerner-aberth,742967.,0.
numal-fft,635203.,0.
numal-k-means,11005009.,0.
numal-levinson-durbin,331992.,0.
numal-lu-decomposition,1144475.,0.
numal-naive-multilayer,873220.,0.
numal-qr-decomposition,758365.,0.
numal-rnd_access,404462.,0.
numal-simple_access,329841.,0.
sequence,741788.,0.
sequence-cps,592827.,0.
setrip,1067299.,0.
setrip-smallbuf,1067299.,0.

data_size,4.06.1+multicore+bench,
almabench,185956.,0.
bdd,186532.,0.
cpdf-merge,1855832.,0.
cpdf-reformat,1855832.,0.
cpdf-squeeze,1855832.,0.
cpdf-transform,1855832.,0.
jsontrip-sample,368968.,0.
kb,195940.,0.
kb-no-exc,196676.,0.
lexifi-g2pp,233316.,0.
menhir-fancy,1032880.,0.
menhir-sql,1032880.,0.
menhir-standard,1032880.,0.
minilight,354536.,0.
numal-durand-kerner-aberth,209668.,0.
numal-fft,184932.,0.
numal-k-means,2639396.,0.
numal-levinson-durbin,206564.,0.
numal-lu-decomposition,383844.,0.
numal-naive-multilayer,351116.,0.
numal-qr-decomposition,266148.,0.
numal-rnd_access,111940.,0.
numal-simple_access,92644.,0.
sequence,211204.,0.
sequence-cps,175044.,0.
setrip,300296.,0.
setrip-smallbuf,300296.,0.

minor_words,4.06.1+multicore+bench,
almabench,1499296.,0.
bdd,78092088.,0.
cpdf-merge,182077657.,nan
cpdf-reformat,442438042.,nan
cpdf-squeeze,396486390.,0.
cpdf-transform,55259047.,0.
jsontrip-sample,5379543.,0.
kb,90744306.,0.
kb-no-exc,37347329.,0.
lexifi-g2pp,1664604581.,0.
menhir-fancy,1359643.,0.
menhir-sql,1005055011.,nan
menhir-standard,2585245.,0.
minilight,9653994739.,0.
numal-durand-kerner-aberth,77191398.,0.
numal-fft,256386827.,0.
numal-k-means,2563546.,0.
numal-levinson-durbin,1001931673.,0.
numal-lu-decomposition,2323177.,0.
numal-naive-multilayer,2169451640.,0.
numal-qr-decomposition,1664961502.,0.
numal-rnd_access,1988352.,34586.0068814
numal-simple_access,207971917.,0.
sequence,751505769.,0.
sequence-cps,1501719665.,0.
setrip,168203678.,0.
setrip-smallbuf,168203713.,0.

major_words,4.06.1+multicore+bench,
almabench,975.,0.
bdd,583194.,0.
cpdf-merge,88005934.,nan
cpdf-reformat,72781274.,nan
cpdf-squeeze,135732461.,0.
cpdf-transform,27404613.,0.
jsontrip-sample,26923.,0.
kb,4836364.,0.
kb-no-exc,4618698.,0.
lexifi-g2pp,277213.,0.
menhir-fancy,272091.,0.
menhir-sql,50751588.,nan
menhir-standard,242323.,0.
minilight,10547447.,0.
numal-durand-kerner-aberth,229455.,0.
numal-fft,130782695.,0.
numal-k-means,526355.,0.
numal-levinson-durbin,250058475.,0.
numal-lu-decomposition,6984362.,0.
numal-naive-multilayer,1259751.,0.
numal-qr-decomposition,2646191.,0.
numal-rnd_access,200000215.,0.
numal-simple_access,192577233.,0.
sequence,37391.,0.
sequence-cps,201326.,0.
setrip,13191.,0.
setrip-smallbuf,13191.,0.

promoted_words,4.06.1+multicore+bench,
almabench,0.000598280793119,0.
bdd,0.0056885660427,0.
cpdf-merge,0.444838693196,nan
cpdf-reformat,0.140862328922,nan
cpdf-squeeze,0.305221256145,0.
cpdf-transform,0.46810883293,0.
jsontrip-sample,0.0019423583007,8.69287071629e-18
kb,0.0532957516916,0.
kb-no-exc,0.123666675065,1.44444595137e-17
lexifi-g2pp,0.000166486986257,0.
menhir-fancy,0.103572040602,6.2568658813e-16
menhir-sql,0.0427537483319,nan
menhir-standard,0.0410034638883,1.04231993086e-16
minilight,0.00109080678876,0.
numal-durand-kerner-aberth,0.0029715357662,1.75270036519e-18
numal-fft,0.489649692494,0.
numal-k-means,0.136950926568,5.61384157879e-17
numal-levinson-durbin,3.49105642057e-05,0.
numal-lu-decomposition,0.0674868940249,0.
numal-naive-multilayer,0.000580478945362,0.
numal-qr-decomposition,0.00158929380458,0.
numal-rnd_access,6.84087009369e-05,1.18992200644e-06
numal-simple_access,0.829809892073,1.35973995551e-16
sequence,4.96509827857e-05,0.
sequence-cps,0.000134011696517,0.
