time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1709385008.67,459275.217392,1669166359.67,543692.728217,1714577925.67,8952780.40775,1672243948.33,3172747.0919,1710511974.33,2781443.786,1600942981.67,4905296.84642
bdd,211585879.895,717863.830656,204778250.95,981500.861582,212342028.316,827819.727834,210155474.95,740308.523803,212782051.579,1173624.06216,191349452.333,1351455.95385
cpdf-merge,7975902168.5,60529.0475763,5999622094.,nan,7672179547.67,34586867.1969,31109121334.,nan,7609207484.33,28838445.6526,4138164668.33,33344253.6106
cpdf-reformat,9035850597.,15296092.9525,7863298161.,nan,8826152211.67,24690381.844,15060160161.,nan,8743941348.67,7369198.88909,6532174248.33,12283390.756
cpdf-squeeze,14049649123.3,35883484.4779,12129488680.2,93168452.132,13731674858.,21000995.3756,30144008010.,28109508.3923,13606747365.3,18207912.3715,9402242780.67,74574732.8611
cpdf-transform,2507863275.5,2639006.6531,2168900335.33,6833417.76061,2354343975.67,6158740.66254,2868091839.67,5997223.13284,2327340824.67,17646048.1071,2132998574.,5051852.05632
frama-c-deflate,,,,,,,,,,,26310664212.,87050922.7413
frama-c-idct,,,,,,,,,,,178790499.,nan
jsontrip-sample,19105566.5714,288808.418133,17722192.7743,327063.053762,19253326.8365,247135.496532,17684637.5419,299530.913394,21583806.0484,436459.563406,14565614.3564,580459.212801
kb,545575642.625,6890909.65503,468610333.333,3602315.00144,524695015.875,1793472.14525,498449432.444,1609308.66168,516195200.25,2363548.19312,431859483.2,3402951.95995
kb-no-exc,368899642.545,5250307.87006,317257915.,nan,355801207.167,1225002.60308,333635421.,nan,346184005.833,3979264.81339,295315873.571,3222155.21363
lexifi-g2pp,9932242461.5,2178493.46235,9870640050.25,84194356.2655,10087952771.8,276436343.41,9817083113.5,3137219.94898,10011175901.4,168307379.653,9693716667.67,60586799.5924
menhir-fancy,18816021.4883,1370781.4776,15341605.4023,1210732.35163,19093130.2667,1945001.43654,15454344.2471,1567583.23939,19279535.125,931465.6245,10409343.1247,336541.429263
menhir-sql,4270834028.,37849717.9433,3426441464.,nan,4088976784.,20215846.3051,7710744242.,nan,4081401332.,19137722.5832,3134690675.,16720277.0375
menhir-standard,14476140.1733,75130.4417104,11384041.1364,76778.5500935,14877923.5836,213303.976525,11406515.3704,64944.600211,14992200.6217,82477.9000639,7773525.13592,59187.3256667
minilight,15271333997.5,12167699.0363,14619846753.,41653915.4911,15164538247.,26724970.9663,14633294646.5,14997370.669,16436350701.,17729134.1754,12479674563.,11648123.3374
numal-durand-kerner-aberth,86650554.2979,281601.136309,81831559.1429,234236.858347,87744341.7391,208245.878623,81957618.6531,201644.728111,87233402.2174,268584.07319,76963719.9231,224452.607295
