time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,1709385008.67,459275.217392,1714577925.67,8952780.40775,1674379095.33,4192850.76769,1710511974.33,2781443.786
bdd,211585879.895,717863.830656,212342028.316,827819.727834,205367480.5,816844.084557,212782051.579,1173624.06216
cpdf-merge,7975902168.5,60529.0475763,7672179547.67,34586867.1969,5354714909.,nan,7609207484.33,28838445.6526
cpdf-reformat,9035850597.,15296092.9525,8826152211.67,24690381.844,7598478759.,nan,8743941348.67,7369198.88909
cpdf-squeeze,14049649123.3,35883484.4779,13731674858.,21000995.3756,11522542623.,2119459.23851,13606747365.3,18207912.3715
cpdf-transform,2507863275.5,2639006.6531,2354343975.67,6158740.66254,2125220722.5,26484633.4065,2327340824.67,17646048.1071
jsontrip-sample,19105566.5714,288808.418133,19253326.8365,247135.496532,17696857.8194,306824.909259,21583806.0484,436459.563406
kb,545575642.625,6890909.65503,524695015.875,1793472.14525,462756725.778,4245684.19946,516195200.25,2363548.19312
kb-no-exc,368899642.545,5250307.87006,355801207.167,1225002.60308,297837803.,nan,346184005.833,3979264.81339
lexifi-g2pp,9932242461.5,2178493.46235,10087952771.8,276436343.41,9832228146.33,42065974.3929,10011175901.4,168307379.653
menhir-fancy,18816021.4883,1370781.4776,19093130.2667,1945001.43654,15366075.4904,1615967.00796,19279535.125,931465.6245
menhir-sql,4270834028.,37849717.9433,4088976784.,20215846.3051,3291347787.,nan,4081401332.,19137722.5832
menhir-standard,14476140.1733,75130.4417104,14877923.5836,213303.976525,11435734.4943,75760.7533859,14992200.6217,82477.9000639
minilight,15271333997.5,12167699.0363,15164538247.,26724970.9663,14545564717.,35019062.6308,16436350701.,17729134.1754
numal-durand-kerner-aberth,86650554.2979,281601.136309,87744341.7391,208245.878623,82095658.6531,234912.589213,87233402.2174,268584.07319
numal-fft,4498689760.5,784930.246417,3797363174.33,20639664.2144,2322099550.,10546493.3682,3741001925.,58359527.0789
numal-k-means,228407483.833,690078.505535,228899210.056,818291.636835,89719799.2,792172.163492,222335261.556,1477165.40653
numal-levinson-durbin,1601586590.67,5588898.14348,1608681702.67,677819.691433,1518191293.33,644759.580767,1601708141.,280914.943227
numal-lu-decomposition,922798114.8,2410348.69135,937621025.4,8650274.5175,854170931.4,3288235.04681,922823349.8,4057719.78531
numal-naive-multilayer,2769866181.,46780286.5776,2765582705.67,6654983.27101,2500340636.5,2099115.06931,2794461135.8,64389517.962
numal-qr-decomposition,1307924565.25,573836.086586,1308533735.5,927866.392669,1146536723.5,1126234.45093,1309446869.75,2893065.2346
numal-rnd_access,5480836577.5,1964606.38897,5513157773.5,4014565.51617,5374571789.,89864167.189,6140685532.5,1516543.93443
numal-simple_access,8500018200.,8135127.75305,8063104165.33,31338731.5103,2212965186.5,403963.740131,8072452788.67,57434131.276
sequence,836501328.8,570586.840557,845464485.8,311838.884617,815128001.4,379482.025672,836152259.,459882.759544
sequence-cps,1213432039.5,6841337.51275,1243004588.,7777660.15763,1135334739.,9543956.61685,1610694437.33,4980624.01613
setrip,995862300.4,15953683.9771,1004992520.,16861790.8059,986914880.2,18164794.9168,1032820513.4,21235000.3937
setrip-smallbuf,988373735.6,13636709.9056,996360888.2,14587493.3738,985705307.2,22245061.1204,999401364.,5820144.63471

size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,869791.,0.,879800.,0.,791509.,0.,869679.,0.
bdd,903604.,0.,914997.,0.,824162.,0.,903492.,0.
cpdf-merge,5595511.,0.,5671736.,0.,5425453.,0.,5595399.,0.
cpdf-reformat,5595511.,0.,5671736.,0.,5425453.,0.,5595399.,0.
cpdf-squeeze,5595511.,0.,5671736.,0.,5425453.,0.,5595399.,0.
cpdf-transform,5595511.,0.,5671736.,0.,5425453.,0.,5595399.,0.
jsontrip-sample,1762650.,0.,1788627.,0.,1656464.,0.,1762538.,0.
kb,943565.,0.,956886.,0.,863107.,0.,943453.,0.
kb-no-exc,947604.,0.,961109.,0.,867098.,0.,947492.,0.
lexifi-g2pp,1085343.,0.,1100072.,0.,1001221.,0.,1085231.,0.
menhir-fancy,4141194.,0.,4222339.,0.,3971304.,0.,4141082.,0.
menhir-sql,4141194.,0.,4222339.,0.,3971304.,0.,4141082.,0.
menhir-standard,4141194.,0.,4222339.,0.,3971304.,0.,4141082.,0.
minilight,1724039.,0.,1746360.,0.,1615405.,0.,1723927.,0.
numal-durand-kerner-aberth,1037652.,0.,1052229.,0.,953106.,0.,1037540.,0.
numal-fft,900000.,0.,911177.,0.,820606.,0.,899888.,0.
numal-k-means,14137870.,0.,14152447.,0.,13644876.,0.,14137758.,0.
numal-levinson-durbin,608429.,0.,610710.,0.,539027.,0.,608317.,0.
numal-lu-decomposition,1651320.,0.,1665817.,0.,1528790.,0.,1651208.,0.
numal-naive-multilayer,1316065.,0.,1332130.,0.,1224807.,0.,1315953.,0.
numal-qr-decomposition,1110794.,0.,1125331.,0.,1024984.,0.,1110682.,0.
numal-rnd_access,588891.,0.,593108.,0.,516873.,0.,588779.,0.
numal-simple_access,492166.,0.,494367.,0.,422956.,0.,492054.,0.
sequence,1037569.,0.,1053034.,0.,953463.,0.,1037457.,0.
sequence-cps,845648.,0.,855825.,0.,768310.,0.,845536.,0.
setrip,1466236.,0.,1487901.,0.,1368066.,0.,1466124.,0.
setrip-smallbuf,1466236.,0.,1487901.,0.,1368066.,0.,1466124.,0.

code_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,619315.,0.,624204.,0.,605553.,0.,619203.,0.
bdd,652552.,0.,658153.,0.,637630.,0.,652440.,0.
cpdf-merge,3675159.,0.,3712984.,0.,3569621.,0.,3675047.,0.
cpdf-reformat,3675159.,0.,3712984.,0.,3569621.,0.,3675047.,0.
cpdf-squeeze,3675159.,0.,3712984.,0.,3569621.,0.,3675047.,0.
cpdf-transform,3675159.,0.,3712984.,0.,3569621.,0.,3675047.,0.
jsontrip-sample,1329162.,0.,1342019.,0.,1287496.,0.,1329050.,0.
kb,683105.,0.,689610.,0.,667167.,0.,682993.,0.
kb-no-exc,686408.,0.,693001.,0.,670422.,0.,686296.,0.
lexifi-g2pp,787507.,0.,794780.,0.,767905.,0.,787395.,0.
menhir-fancy,3042994.,0.,3083467.,0.,2937624.,0.,3042882.,0.
menhir-sql,3042994.,0.,3083467.,0.,2937624.,0.,3042882.,0.
menhir-standard,3042994.,0.,3083467.,0.,2937624.,0.,3042882.,0.
minilight,1304983.,0.,1316072.,0.,1260869.,0.,1304871.,0.
numal-durand-kerner-aberth,763464.,0.,770617.,0.,743438.,0.,763352.,0.
numal-fft,650548.,0.,656029.,0.,635674.,0.,650436.,0.
numal-k-means,11433954.,0.,11441139.,0.,11005480.,0.,11433842.,0.
numal-levinson-durbin,337345.,0.,338666.,0.,332463.,0.,337233.,0.
numal-lu-decomposition,1202956.,0.,1210061.,0.,1144946.,0.,1202844.,0.
numal-naive-multilayer,900429.,0.,908398.,0.,873691.,0.,900317.,0.
numal-qr-decomposition,780126.,0.,787303.,0.,758836.,0.,780014.,0.
numal-rnd_access,412431.,0.,414760.,0.,404933.,0.,412319.,0.
numal-simple_access,335002.,0.,336275.,0.,330312.,0.,334890.,0.
sequence,761845.,0.,769406.,0.,742259.,0.,761733.,0.
sequence-cps,606084.,0.,611045.,0.,593266.,0.,605972.,0.
setrip,1101420.,0.,1112237.,0.,1067770.,0.,1101308.,0.
setrip-smallbuf,1101420.,0.,1112237.,0.,1067770.,0.,1101308.,0.

data_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,250476.,0.,255596.,0.,185956.,0.,250476.,0.
bdd,251052.,0.,256844.,0.,186532.,0.,251052.,0.
cpdf-merge,1920352.,0.,1958752.,0.,1855832.,0.,1920352.,0.
cpdf-reformat,1920352.,0.,1958752.,0.,1855832.,0.,1920352.,0.
cpdf-squeeze,1920352.,0.,1958752.,0.,1855832.,0.,1920352.,0.
cpdf-transform,1920352.,0.,1958752.,0.,1855832.,0.,1920352.,0.
jsontrip-sample,433488.,0.,446608.,0.,368968.,0.,433488.,0.
kb,260460.,0.,267276.,0.,195940.,0.,260460.,0.
kb-no-exc,261196.,0.,268108.,0.,196676.,0.,261196.,0.
lexifi-g2pp,297836.,0.,305292.,0.,233316.,0.,297836.,0.
menhir-fancy,1098200.,0.,1138872.,0.,1033680.,0.,1098200.,0.
menhir-sql,1098200.,0.,1138872.,0.,1033680.,0.,1098200.,0.
menhir-standard,1098200.,0.,1138872.,0.,1033680.,0.,1098200.,0.
minilight,419056.,0.,430288.,0.,354536.,0.,419056.,0.
numal-durand-kerner-aberth,274188.,0.,281612.,0.,209668.,0.,274188.,0.
numal-fft,249452.,0.,255148.,0.,184932.,0.,249452.,0.
numal-k-means,2703916.,0.,2711308.,0.,2639396.,0.,2703916.,0.
numal-levinson-durbin,271084.,0.,272044.,0.,206564.,0.,271084.,0.
numal-lu-decomposition,448364.,0.,455756.,0.,383844.,0.,448364.,0.
numal-naive-multilayer,415636.,0.,423732.,0.,351116.,0.,415636.,0.
numal-qr-decomposition,330668.,0.,338028.,0.,266148.,0.,330668.,0.
numal-rnd_access,176460.,0.,178348.,0.,111940.,0.,176460.,0.
numal-simple_access,157164.,0.,158092.,0.,92644.,0.,157164.,0.
sequence,275724.,0.,283628.,0.,211204.,0.,275724.,0.
sequence-cps,239564.,0.,244780.,0.,175044.,0.,239564.,0.
setrip,364816.,0.,375664.,0.,300296.,0.,364816.,0.
setrip-smallbuf,364816.,0.,375664.,0.,300296.,0.,364816.,0.

minor_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,
almabench,12771504.,0.,12771504.,0.,1499312.,0.,12771504.,0.
bdd,78354228.,0.,78354228.,0.,78092090.,0.,78354228.,0.
cpdf-merge,197558412.,0.,197558831.,0.,186168648.,nan,197558790.,0.
