time_real,4.06.1+multicore+scheduling+bench,
almabench,1669516103.,861445.471112
bdd,205928993.15,876931.722228
cpdf-merge,5386758997.,nan
cpdf-reformat,7542297801.,nan
cpdf-squeeze,11548571513.7,23215456.7932
cpdf-transform,2112465217.,14237385.99
jsontrip-sample,17698651.6035,306126.353427
kb,460779433.778,4582074.6825
kb-no-exc,311946186.,nan
lexifi-g2pp,9816243164.5,6956487.52194
menhir-fancy,15314863.0725,1275571.76178
menhir-sql,3289025690.,nan
menhir-standard,11432622.5943,68122.891433
minilight,14494070435.,28757283.2145
numal-durand-kerner-aberth,82148764.2857,201277.435127
numal-fft,2325762773.,11585972.8983
numal-k-means,89825391.4,803846.336596
numal-levinson-durbin,1518708402.33,856812.615623
numal-lu-decomposition,865401417.8,20273195.468
numal-naive-multilayer,2506531503.,3189749.38246
numal-qr-decomposition,1147124040.5,1158813.65487
numal-rnd_access,5321583404.,15724049.0487
numal-simple_access,2210103205.,1011405.94183
sequence,815464073.2,336872.421398
sequence-cps,1132982908.75,5612225.5485
setrip,974845071.6,8371197.93653
setrip-smallbuf,976760260.6,9414896.18639

