time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,1669747921.,1658450.45584,1669516103.,861445.471112,1615443487.17,38978585.5952
bdd,205052383.35,2129928.87439,205928993.15,876931.722228,191352814.333,1538624.16546
cpdf-merge,6051101779.,nan,5386758997.,nan,4129900956.67,15347182.4591
cpdf-reformat,7936306372.,nan,7542297801.,nan,6549273053.,5667569.74565
cpdf-squeeze,12137560708.7,82233384.4531,11548571513.7,23215456.7932,9417609473.5,7088316.26758
cpdf-transform,2175580976.67,11506300.9777,2112465217.,14237385.99,2132200918.5,1547875.8359
frama-c-deflate,,,,,26416105703.,124406393.974
frama-c-idct,,,,,178775422.,nan
jsontrip-sample,17745199.0619,320698.602662,17698651.6035,306126.353427,14513173.8913,358191.311212
kb,468852966.889,4396241.05302,460779433.778,4582074.6825,431346274.9,3737292.28297
kb-no-exc,317957789.,nan,311946186.,nan,293065460.071,3572596.53034
lexifi-g2pp,9824194935.67,9521117.88682,9816243164.5,6956487.52194,9747967243.8,163391292.926
menhir-fancy,15732921.3882,1655888.72292,15314863.0725,1275571.76178,10682431.744,1015190.28694
menhir-sql,3429947733.,nan,3289025690.,nan,3141179287.67,18403368.7264
menhir-standard,11394692.3722,96970.3685636,11432622.5943,68122.891433,7860178.43418,85983.1291696
minilight,14607250803.5,655975.182732,14494070435.,28757283.2145,12494314672.7,64247948.8175
numal-durand-kerner-aberth,82020649.4286,255329.955742,82148764.2857,201277.435127,77003957.75,264554.149311
numal-fft,2360359574.67,7467896.02034,2325762773.,11585972.8983,2211949361.33,19291031.7132
numal-k-means,90040430.2444,751861.522772,89825391.4,803846.336596,77382144.0577,1249523.28811
numal-levinson-durbin,1483892414.67,4341331.83934,1518708402.33,856812.615623,1407376629.33,607037.27646
numal-lu-decomposition,871329161.167,21918580.318,865401417.8,20273195.468,772020807.167,13621406.2885
numal-naive-multilayer,2538656879.,2550207.47641,2506531503.,3189749.38246,2381256813.33,19301501.5626
numal-qr-decomposition,1144657749.75,969704.635584,1147124040.5,1158813.65487,1174935646.75,2731407.28557
numal-rnd_access,5351958020.,1575255.71757,5321583404.,15724049.0487,4038804309.25,54974699.2835
numal-simple_access,2543777344.5,29269279.0705,2210103205.,1011405.94183,2960717616.67,9084727.07974
patdiff,,,,,219126213.053,4286689.1068
sauvola-contrast,,,,,1746612.,nan
sequence,894230105.2,673208.773542,815464073.2,336872.421398,844671995.8,583324.998858
sequence-cps,1142124519.,18566146.4538,1132982908.75,5612225.5485,879657346.857,25780326.7126
setrip,983391343.6,12644624.6832,974845071.6,8371197.93653,899177127.,5873188.47741
setrip-smallbuf,973099108.,11047985.4757,976760260.6,9414896.18639,889312943.8,7749861.39086

size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+trunk+bench,
almabench,791414.,0.,791509.,0.,722441.,0.
bdd,824035.,0.,824162.,0.,748542.,0.
cpdf-merge,5425326.,0.,5425453.,0.,4914923.,0.
cpdf-reformat,5425326.,0.,5425453.,0.,4914923.,0.
cpdf-squeeze,5425326.,0.,5425453.,0.,4914923.,0.
cpdf-transform,5425326.,0.,5425453.,0.,4914923.,0.
frama-c-deflate,,,,,14161081.,0.
frama-c-idct,,,,,14161081.,0.
jsontrip-sample,1656337.,0.,1656464.,0.,1406209.,0.
kb,863012.,0.,863107.,0.,787631.,0.
kb-no-exc,867003.,0.,867098.,0.,791390.,0.
lexifi-g2pp,1001094.,0.,1001221.,0.,902335.,0.
menhir-fancy,3971145.,0.,3971304.,0.,3274517.,0.
menhir-sql,3971145.,0.,3971304.,0.,3274517.,0.
