time_real,4.06.1+multicore+scheduling+bench,
almabench,1668486198.,3014693.48992
bdd,206094449.5,849823.311652
cpdf-merge,5361103480.,nan
cpdf-reformat,7585137664.,nan
cpdf-squeeze,11499511382.7,35251137.169
cpdf-transform,2110981984.67,8700134.71195
jsontrip-sample,17905483.8348,319415.830988
kb,460945641.889,6284161.9474
kb-no-exc,304940608.,nan
lexifi-g2pp,9839119755.67,27609527.6944
menhir-fancy,15251014.0951,1541078.36038
menhir-sql,3303135079.,nan
menhir-standard,11471640.6819,121479.473987
minilight,14686824062.5,9619940.97778
numal-durand-kerner-aberth,82232420.898,197617.360421
numal-fft,2352375922.75,20482060.2845
numal-k-means,89933886.6222,864417.082442
numal-levinson-durbin,1519024019.,1887826.92771
numal-lu-decomposition,856263917.2,2335930.33963
numal-naive-multilayer,2502743638.33,9175360.41163
numal-qr-decomposition,1147024802.5,1998414.56773
numal-rnd_access,5312982478.5,1656355.91563
numal-simple_access,2240340055.25,35085733.0714
sequence,819950721.2,1227154.38668
sequence-cps,1130651926.25,3432251.65088
setrip,968224243.8,11417668.3138
setrip-smallbuf,967884683.6,10333985.7037

size,4.06.1+multicore+scheduling+bench,
almabench,792024.,0.
bdd,824677.,0.
cpdf-merge,5425968.,0.
cpdf-reformat,5425968.,0.
cpdf-squeeze,5425968.,0.
cpdf-transform,5425968.,0.
jsontrip-sample,1656979.,0.
kb,863622.,0.
kb-no-exc,867613.,0.
lexifi-g2pp,1001736.,0.
menhir-fancy,3971819.,0.
menhir-sql,3971819.,0.
menhir-standard,3971819.,0.
minilight,1615920.,0.
numal-durand-kerner-aberth,953621.,0.
numal-fft,821121.,0.
numal-k-means,13645391.,0.
numal-levinson-durbin,539542.,0.
numal-lu-decomposition,1529305.,0.
numal-naive-multilayer,1225322.,0.
numal-qr-decomposition,1025499.,0.
numal-rnd_access,517388.,0.
numal-simple_access,423471.,0.
sequence,953978.,0.
sequence-cps,768825.,0.
setrip,1368581.,0.
setrip-smallbuf,1368581.,0.

code_size,4.06.1+multicore+scheduling+bench,
almabench,606068.,0.
bdd,638145.,0.
cpdf-merge,3570136.,0.
cpdf-reformat,3570136.,0.
cpdf-squeeze,3570136.,0.
cpdf-transform,3570136.,0.
jsontrip-sample,1288011.,0.
kb,667682.,0.
kb-no-exc,670937.,0.
lexifi-g2pp,768420.,0.
menhir-fancy,2938139.,0.
menhir-sql,2938139.,0.
menhir-standard,2938139.,0.
minilight,1261384.,0.
numal-durand-kerner-aberth,743953.,0.
numal-fft,636189.,0.
numal-k-means,11005995.,0.
numal-levinson-durbin,332978.,0.
numal-lu-decomposition,1145461.,0.
numal-naive-multilayer,874206.,0.
numal-qr-decomposition,759351.,0.
numal-rnd_access,405448.,0.
numal-simple_access,330827.,0.
sequence,742774.,0.
sequence-cps,593781.,0.
setrip,1068285.,0.
setrip-smallbuf,1068285.,0.

data_size,4.06.1+multicore+scheduling+bench,
almabench,185956.,0.
bdd,186532.,0.
cpdf-merge,1855832.,0.
cpdf-reformat,1855832.,0.
cpdf-squeeze,1855832.,0.
cpdf-transform,1855832.,0.
