time_real,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1668586097.67,772887.005315,1611065374.,19014356.7273
bdd,206536502.15,958739.234452,190751397.048,1334426.03388
cpdf-merge,5368945130.,nan,3929011655.33,4372643.14454
cpdf-reformat,7576444011.,nan,6520455400.,2694322.90948
cpdf-squeeze,11556740672.,2792194.97328,9439977646.,8301266.73393
cpdf-transform,2109288356.,5711669.69621,2177254657.33,12220670.8443
jsontrip-sample,17867316.6295,283657.090626,15351101.6322,319137.909523
kb,459553907.222,798524.174801,423950441.4,4218710.92182
kb-no-exc,304577349.,nan,284078425.6,1704620.09008
lexifi-g2pp,9834937481.,8418056.6572,9779658739.4,163597841.272
menhir-fancy,15048530.9699,168718.000259,10343391.5736,903994.924595
menhir-sql,3305068893.,nan,3086766895.67,25653486.0777
menhir-standard,11477118.9169,92759.9051938,7799253.57505,80079.2361016
minilight,14645574524.,1628434.39016,12543328391.,12566489.5832
numal-durand-kerner-aberth,82225682.1429,246940.999261,77618887.6538,291763.919717
numal-fft,2356788833.67,15224874.5473,2215484507.,35061945.0729
numal-k-means,89973741.3333,847996.406454,77849480.0577,759541.19974
numal-levinson-durbin,1520001585.67,1257978.5418,1417704864.67,5409860.10735
numal-lu-decomposition,852970779.2,5823612.42969,774607161.333,2095929.29242
numal-naive-multilayer,2508613879.67,12382475.5146,2298667784.5,2148581.43129
numal-qr-decomposition,1146520379.,2221670.25824,1170013433.25,517757.332013
numal-rnd_access,5316989421.,6941025.06547,4049523087.57,119560663.885
numal-simple_access,2241531986.25,23680139.7614,2676759265.33,5455631.25976
patdiff,,,221553256.842,4768329.84697
sequence,820129881.6,1327453.19073,847796697.8,1536321.5233
sequence-cps,1130815763.75,4597735.35614,883181133.375,32134771.4337
setrip,970996682.4,8994283.61158,896590720.2,7494383.79119
setrip-smallbuf,964956023.2,10352297.448,911634079.6,14961596.2729

size,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,792024.,0.,722528.,0.
bdd,824677.,0.,748629.,0.
cpdf-merge,5425968.,0.,4915026.,0.
cpdf-reformat,5425968.,0.,4915026.,0.
cpdf-squeeze,5425968.,0.,4915026.,0.
cpdf-transform,5425968.,0.,4915026.,0.
jsontrip-sample,1656979.,0.,1406280.,0.
kb,863622.,0.,787718.,0.
kb-no-exc,867613.,0.,791477.,0.
lexifi-g2pp,1001736.,0.,902422.,0.
menhir-fancy,3971819.,0.,3274604.,0.
menhir-sql,3971819.,0.,3274604.,0.
menhir-standard,3971819.,0.,3274604.,0.
minilight,1615920.,0.,1337413.,0.
numal-durand-kerner-aberth,953621.,0.,844509.,0.
numal-fft,821121.,0.,746113.,0.
numal-k-means,13645391.,0.,8398807.,0.
numal-levinson-durbin,539542.,0.,503338.,0.
numal-lu-decomposition,1529305.,0.,1210873.,0.
numal-naive-multilayer,1225322.,0.,1074920.,0.
numal-qr-decomposition,1025499.,0.,918819.,0.
numal-rnd_access,517388.,0.,458110.,0.
numal-simple_access,423471.,0.,387771.,0.
patdiff,,,18398582.,0.
sequence,953978.,0.,859450.,0.
sequence-cps,768825.,0.,704281.,0.
setrip,1368581.,0.,1168042.,0.
setrip-smallbuf,1368581.,0.,1168042.,0.

code_size,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,606068.,0.,528172.,0.
bdd,638145.,0.,554433.,0.
cpdf-merge,3570136.,0.,3124170.,0.
cpdf-reformat,3570136.,0.,3124170.,0.
cpdf-squeeze,3570136.,0.,3124170.,0.
cpdf-transform,3570136.,0.,3124170.,0.
jsontrip-sample,1288011.,0.,1061560.,0.
kb,667682.,0.,583570.,0.
kb-no-exc,670937.,0.,586625.,0.
lexifi-g2pp,768420.,0.,664514.,0.
menhir-fancy,2938139.,0.,2371292.,0.
menhir-sql,2938139.,0.,2371292.,0.
menhir-standard,2938139.,0.,2371292.,0.
minilight,1261384.,0.,1014229.,0.
numal-durand-kerner-aberth,743953.,0.,634409.,0.
numal-fft,636189.,0.,553325.,0.
numal-k-means,11005995.,0.,7160195.,0.
numal-levinson-durbin,332978.,0.,283830.,0.
numal-lu-decomposition,1145461.,0.,891973.,0.
numal-naive-multilayer,874206.,0.,733420.,0.
numal-qr-decomposition,759351.,0.,652015.,0.
numal-rnd_access,405448.,0.,336426.,0.
numal-simple_access,330827.,0.,282055.,0.
patdiff,,,14145694.,0.
sequence,742774.,0.,643206.,0.
sequence-cps,593781.,0.,519461.,0.
setrip,1068285.,0.,882298.,0.
setrip-smallbuf,1068285.,0.,882298.,0.

data_size,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,185956.,0.,194356.,0.
bdd,186532.,0.,194196.,0.
cpdf-merge,1855832.,0.,1790856.,0.
cpdf-reformat,1855832.,0.,1790856.,0.
cpdf-squeeze,1855832.,0.,1790856.,0.
cpdf-transform,1855832.,0.,1790856.,0.
jsontrip-sample,368968.,0.,344720.,0.
kb,195940.,0.,204148.,0.
kb-no-exc,196676.,0.,204852.,0.
lexifi-g2pp,233316.,0.,237908.,0.
menhir-fancy,1033680.,0.,903312.,0.
menhir-sql,1033680.,0.,903312.,0.
menhir-standard,1033680.,0.,903312.,0.
minilight,354536.,0.,323184.,0.
numal-durand-kerner-aberth,209668.,0.,210100.,0.
numal-fft,184932.,0.,192788.,0.
numal-k-means,2639396.,0.,1238612.,0.
numal-levinson-durbin,206564.,0.,219508.,0.
numal-lu-decomposition,383844.,0.,318900.,0.
numal-naive-multilayer,351116.,0.,341500.,0.
numal-qr-decomposition,266148.,0.,266804.,0.
numal-rnd_access,111940.,0.,121684.,0.
numal-simple_access,92644.,0.,105716.,0.
patdiff,,,4252888.,0.
sequence,211204.,0.,216244.,0.
sequence-cps,175044.,0.,184820.,0.
setrip,300296.,0.,285744.,0.
setrip-smallbuf,300296.,0.,285744.,0.

minor_words,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1499312.,0.,11689156.,0.
bdd,78092090.,0.,76776821.,0.
cpdf-merge,186168648.,nan,197536374.,0.
cpdf-reformat,444797388.,nan,448744298.,0.
cpdf-squeeze,386787458.,0.,403639849.,0.
cpdf-transform,55783336.,0.,55760133.,0.
jsontrip-sample,5117393.,0.,7160787.,0.
kb,90482693.,0.,90578338.,0.
kb-no-exc,37609474.,nan,37503345.,0.
lexifi-g2pp,1579408257.,0.,1678613139.,0.
menhir-fancy,1359670.,0.,2238238.,0.
menhir-sql,1007629239.,nan,1032167599.,0.
menhir-standard,2585276.,0.,1432106.,0.
minilight,9665266779.,0.,9747431709.,0.
numal-durand-kerner-aberth,76667114.,0.,77414765.,0.
numal-fft,274390357.,0.,264242360.,0.
numal-k-means,2563666.,0.,102494197.,0.
numal-levinson-durbin,964969373.,0.,1000786333.,0.
numal-lu-decomposition,2318861.,0.,542217441.,0.
numal-naive-multilayer,2163946625.,0.,2170639393.,0.
numal-qr-decomposition,1645562910.,0.,1711440719.,0.
numal-rnd_access,1293732.66667,1097406.77277,200003742.571,14831.3726816
numal-simple_access,227632419.,0.,640006197.,0.
patdiff,,,36596917.,0.
sequence,749670770.,0.,750492639.,0.
sequence-cps,1502243949.,0.,1501298736.,0.
setrip,169514388.,0.,170650262.,0.
setrip-smallbuf,171087555.,0.,170650237.,0.

major_words,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,979.,0.,941.,0.
bdd,583196.,0.,616827.,0.
cpdf-merge,90412572.,nan,94605527.,0.
cpdf-reformat,75226835.,nan,76049963.,0.
cpdf-squeeze,132492420.,0.,138741284.,0.
cpdf-transform,28027018.,0.,27860239.,0.
jsontrip-sample,26478.,0.,29441.,0.
kb,4817598.,0.,4908177.,0.
kb-no-exc,4644391.,nan,4671664.,0.
lexifi-g2pp,265899.,0.,280169.,0.
menhir-fancy,272102.,0.,328731.,0.
menhir-sql,55248631.,nan,56164943.,0.
menhir-standard,242338.,0.,271961.,0.
minilight,10557519.,0.,10642310.,0.
numal-durand-kerner-aberth,227979.,0.,237996.,0.
numal-fft,139784461.,0.,140022140.,0.
numal-k-means,526364.,0.,536219.,0.
numal-levinson-durbin,240820094.,0.,250070736.,0.
numal-lu-decomposition,4624732.,0.,7775146.,0.
numal-naive-multilayer,1256522.,0.,1284119.,0.
numal-qr-decomposition,2594502.,0.,2682974.,0.
numal-rnd_access,200000217.,0.,200000141.,0.
numal-simple_access,208961135.,0.,220001889.,0.
patdiff,,,8896447.,0.
sequence,37288.,0.,37749.,0.
sequence-cps,201401.,0.,214872.,0.
setrip,13231.,0.,13279.,0.
setrip-smallbuf,13317.,0.,13279.,0.

promoted_words,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,901.,0.,941.,0.
bdd,444234.,0.,477943.,0.
cpdf-merge,81048705.,nan,82892080.,0.
cpdf-reformat,64637341.,nan,65460559.,0.
cpdf-squeeze,120753108.,0.,123070655.,0.
cpdf-transform,26096999.,0.,25930310.,0.
jsontrip-sample,10004.,0.,13053.,0.
kb,4817520.,0.,4908177.,0.
kb-no-exc,4644313.,nan,4671664.,0.
lexifi-g2pp,265821.,0.,280169.,0.
menhir-fancy,140832.,0.,179489.,0.
menhir-sql,45544079.,nan,46172576.,0.
menhir-standard,106019.,0.,123373.,0.
minilight,10540715.,0.,10625592.,0.
numal-durand-kerner-aberth,227901.,0.,237996.,0.
numal-fft,134541497.,0.,134779254.,0.
numal-k-means,351089.,0.,361022.,0.
numal-levinson-durbin,33720.,0.,47317.,0.
numal-lu-decomposition,156738.,0.,297668.,0.
numal-naive-multilayer,1256092.,0.,1283767.,0.
numal-qr-decomposition,2594424.,0.,2682974.,0.
numal-rnd_access,138.,0.,140.,0.
numal-simple_access,188961056.,0.,200001888.,0.
patdiff,,,6522407.,0.
sequence,37210.,0.,37749.,0.
sequence-cps,201323.,0.,214872.,0.
setrip,4952.,0.,5086.,0.
setrip-smallbuf,5038.,0.,5086.,0.

top_heap_words,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,32768.,0.,491520.,0.
bdd,573081.,0.,565248.,0.
cpdf-merge,41250573.,nan,49650688.,0.
cpdf-reformat,30748513.,nan,32645632.,0.
cpdf-squeeze,39037390.,0.,43174400.,0.
cpdf-transform,15729863.,0.,19150848.,0.
jsontrip-sample,94607.,0.,565248.,0.
kb,446464.,0.,587264.,0.
kb-no-exc,507904.,nan,628224.,0.
lexifi-g2pp,152547.,0.,593408.,0.
