time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1694091106.8,34932655.4353,1668586097.67,772887.005315,1611065374.,19014356.7273,1609679857.2,25401930.3296
bdd,206256328.1,910043.823118,206536502.15,958739.234452,190751397.048,1334426.03388,190902894.143,993686.073833
cpdf-merge,5358198019.,nan,5368945130.,nan,3929011655.33,4372643.14454,4135790509.,3230377.73187
cpdf-reformat,7558853063.,nan,7576444011.,nan,6520455400.,2694322.90948,6534253305.67,13914774.8055
cpdf-squeeze,11504422562.7,18050895.1531,11556740672.,2792194.97328,9439977646.,8301266.73393,9390330719.33,27131696.6539
cpdf-transform,2104278570.,1267749.12057,2109288356.,5711669.69621,2177254657.33,12220670.8443,2135321520.33,7035099.43882
frama-c-deflate,,,,,,,26487048645.3,106711712.433
frama-c-idct,,,,,,,179514587.,nan
jsontrip-sample,17891445.8259,480270.056123,17867316.6295,283657.090626,15351101.6322,319137.909523,14492080.6643,348936.84051
kb,463458802.556,4230094.84639,459553907.222,798524.174801,423950441.4,4218710.92182,429724389.4,1256021.7695
kb-no-exc,303779215.,nan,304577349.,nan,284078425.6,1704620.09008,298619306.786,11362170.9635
lexifi-g2pp,9832264182.,10197909.5546,9834937481.,8418056.6572,9779658739.4,163597841.272,9713542062.33,75773365.553
menhir-fancy,15155768.1553,1153863.13389,15048530.9699,168718.000259,10343391.5736,903994.924595,10645062.6968,742562.083749
menhir-list-errors,193459462230.,nan,,,,,119041038793.,408966806.024
menhir-sql,3275151049.,nan,3305068893.,nan,3086766895.67,25653486.0777,3139479772.,19842611.7528
menhir-standard,11424587.8547,104192.140517,11477118.9169,92759.9051938,7799253.57505,80079.2361016,8046980.00402,508754.937499
menhir-sysver,52416186883.,nan,,,,,45899521902.3,101555526.215
minilight,14670488754.,40220624.4635,14645574524.,1628434.39016,12543328391.,12566489.5832,12473945709.,2851601.84239
numal-durand-kerner-aberth,82126299.6531,228683.953711,82225682.1429,246940.999261,77618887.6538,291763.919717,77009961.5577,272718.653668
numal-fft,2356477070.67,8090833.11201,2356788833.67,15224874.5473,2215484507.,35061945.0729,2214007924.5,2355668.96587
numal-k-means,89826996.8667,814755.440534,89973741.3333,847996.406454,77849480.0577,759541.19974,77269953.2115,885376.116992
numal-levinson-durbin,1518527857.67,547203.078429,1520001585.67,1257978.5418,1417704864.67,5409860.10735,1407335063.33,1669704.97109
numal-lu-decomposition,859035301.,8723842.25139,852970779.2,5823612.42969,774607161.333,2095929.29242,762133715.833,641598.567612
numal-naive-multilayer,2533474750.25,27824953.425,2508613879.67,12382475.5146,2298667784.5,2148581.43129,2373638647.67,14538222.7474
numal-qr-decomposition,1145714737.25,793334.989365,1146520379.,2221670.25824,1170013433.25,517757.332013,1174298922.25,1210657.51118
numal-rnd_access,5316936452.,3580504.483,5316989421.,6941025.06547,4049523087.57,119560663.885,4039225359.5,51162216.282
numal-simple_access,2232869844.6,35788895.1176,2241531986.25,23680139.7614,2676759265.33,5455631.25976,2969811069.,12740720.6775
patdiff,,,,,221553256.842,4768329.84697,221682194.158,6247904.24981
sauvola-contrast,,,,,,,1745855.,nan
sequence,819667303.6,574502.723378,820129881.6,1327453.19073,847796697.8,1536321.5233,844450617.6,734071.453666
sequence-cps,1135484030.5,9889585.45647,1130815763.75,4597735.35614,883181133.375,32134771.4337,869892657.2,8023645.46194
setrip,966368034.2,5654755.31255,970996682.4,8994283.61158,896590720.2,7494383.79119,892821216.8,10223659.1139
setrip-smallbuf,967675807.4,11306933.9368,964956023.2,10352297.448,911634079.6,14961596.2729,899659210.2,16152727.4379

size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,792024.,0.,792024.,0.,722528.,0.,722441.,0.
bdd,824677.,0.,824677.,0.,748629.,0.,748542.,0.
cpdf-merge,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-reformat,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-squeeze,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-transform,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
frama-c-deflate,,,,,,,14161081.,0.
frama-c-idct,,,,,,,14161081.,0.
jsontrip-sample,1656979.,0.,1656979.,0.,1406280.,0.,1406209.,0.
kb,863622.,0.,863622.,0.,787718.,0.,787631.,0.
kb-no-exc,867613.,0.,867613.,0.,791477.,0.,791390.,0.
lexifi-g2pp,1001736.,0.,1001736.,0.,902422.,0.,902335.,0.
menhir-fancy,3971787.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-list-errors,3971787.,0.,,,,,3274517.,0.
menhir-sql,3971787.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-standard,3971787.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-sysver,3971787.,0.,,,,,3274517.,0.
minilight,1615920.,0.,1615920.,0.,1337413.,0.,1337342.,0.
numal-durand-kerner-aberth,953621.,0.,953621.,0.,844509.,0.,844422.,0.
numal-fft,821121.,0.,821121.,0.,746113.,0.,746026.,0.
numal-k-means,13645391.,0.,13645391.,0.,8398807.,0.,8398720.,0.
numal-levinson-durbin,539542.,0.,539542.,0.,503338.,0.,503251.,0.
numal-lu-decomposition,1529305.,0.,1529305.,0.,1210873.,0.,1210786.,0.
numal-naive-multilayer,1225322.,0.,1225322.,0.,1074920.,0.,1074833.,0.
numal-qr-decomposition,1025499.,0.,1025499.,0.,918819.,0.,918732.,0.
numal-rnd_access,517388.,0.,517388.,0.,458110.,0.,458023.,0.
numal-simple_access,423471.,0.,423471.,0.,387771.,0.,387684.,0.
patdiff,,,,,18398582.,0.,18398479.,0.
sauvola-contrast,,,,,,,1935177.,0.
sequence,953978.,0.,953978.,0.,859450.,0.,859363.,0.
sequence-cps,768825.,0.,768825.,0.,704281.,0.,704194.,0.
setrip,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.
setrip-smallbuf,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,606068.,0.,606068.,0.,528172.,0.,528085.,0.
bdd,638145.,0.,638145.,0.,554433.,0.,554346.,0.
cpdf-merge,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-reformat,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-squeeze,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-transform,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
