time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1680875659.67,6469653.85929,1685576088.6,33668689.0407,1668586097.67,772887.005315,1687571748.6,35927741.4701,1611065374.,19014356.7273,1599978181.,417018.412832
bdd,206586405.05,3905130.94113,205913458.95,1260070.59201,206536502.15,958739.234452,204349974.9,807222.004882,190751397.048,1334426.03388,191023659.095,1494068.07341
cpdf-merge,5364226962.,nan,5377113190.,nan,5368945130.,nan,5422039430.,nan,3929011655.33,4372643.14454,4112809264.33,5690887.68909
cpdf-reformat,7558823533.,nan,7566063717.,nan,7576444011.,nan,7564244203.,nan,6520455400.,2694322.90948,6547159084.,6623978.33626
cpdf-squeeze,11529215181.5,4438041.86793,11574092279.7,30910892.1924,11556740672.,2792194.97328,11533563974.,8476965.79849,9439977646.,8301266.73393,9388045529.67,25450912.1799
cpdf-transform,2110811514.33,7888677.55715,2121850015.25,19469103.067,2109288356.,5711669.69621,2115535801.,8379700.02441,2177254657.33,12220670.8443,2138018801.33,8197706.40833
frama-c-deflate,,,,,,,,,,,26468115516.,100869383.625
frama-c-idct,,,,,,,,,,,179808722.,nan
frama-c-monocypher,,,,,,,,,,,88149005.,nan
jsontrip-sample,17941572.9238,416829.95977,18081462.1982,533761.880555,17867316.6295,283657.090626,17793663.7111,292517.203838,15351101.6322,319137.909523,14545303.8478,366182.548702
kb,459951920.222,1330442.05859,459987651.222,744112.487219,459553907.222,798524.174801,459347435.778,1606816.18074,423950441.4,4218710.92182,430638566.2,2768551.2907
kb-no-exc,298447959.,nan,305639538.,nan,304577349.,nan,296063322.,nan,284078425.6,1704620.09008,294681925.429,3945109.56222
lexifi-g2pp,9824251161.,1049961.64618,9824465160.5,4396140.13429,9834937481.,8418056.6572,9856339922.,8771861.85316,9779658739.4,163597841.272,9703766197.,39334327.4459
menhir-fancy,15171345.822,235730.292784,15678594.3711,1582552.17826,15048530.9699,168718.000259,15484665.5676,2066724.79773,10343391.5736,903994.924595,11160258.4067,1420584.73115
menhir-list-errors,197133399344.,nan,191412635914.,nan,,,195905542453.,nan,,,119536057877.,324606499.741
menhir-sql,3297183680.,nan,3286810524.,nan,3305068893.,nan,3278486083.,nan,3086766895.67,25653486.0777,3152043337.75,23183488.5728
menhir-standard,11969774.1457,4580938.20606,11558519.4726,910126.023962,11477118.9169,92759.9051938,11671035.6851,2177745.64624,7799253.57505,80079.2361016,8193138.68098,562120.074244
menhir-sysver,54312857351.,nan,52569296754.,nan,,,52630425269.,nan,,,46008561114.,384852582.085
minilight,14515430515.5,10419596.7229,14602049264.3,20218696.8629,14645574524.,1628434.39016,14525175054.,2172705.79335,12543328391.,12566489.5832,12524856109.7,40548561.2598
numal-durand-kerner-aberth,82067876.7347,234850.796448,82124564.7755,227797.218443,82225682.1429,246940.999261,82111804.4694,273157.001638,77618887.6538,291763.919717,77014367.75,284256.050826
numal-fft,2327815957.,6209212.86113,2350662597.33,14556912.6234,2356788833.67,15224874.5473,2315315038.5,1958212.72945,2215484507.,35061945.0729,2221530864.5,18404879.3872
numal-k-means,89503065.2889,666788.80636,90022337.8222,918365.377138,89973741.3333,847996.406454,90238814.,782126.411041,77849480.0577,759541.19974,77649219.25,1078613.45484
numal-levinson-durbin,1520630953.33,1447193.8388,1519471460.33,1757874.7322,1520001585.67,1257978.5418,1531119868.,15924253.1252,1417704864.67,5409860.10735,1409930251.67,1805971.87249
numal-lu-decomposition,855953559.2,874599.499443,859548883.4,5566606.65435,852970779.2,5823612.42969,856179375.6,1384037.77764,774607161.333,2095929.29242,771908744.833,8523354.8593
numal-naive-multilayer,2509240875.,1383219.65794,2493526096.5,1032570.3549,2508613879.67,12382475.5146,2534733493.2,48652997.3031,2298667784.5,2148581.43129,2366519974.67,4051488.33452
numal-qr-decomposition,1146055451.25,446855.310409,1146177917.,247155.28157,1146520379.,2221670.25824,1151335564.5,7998889.38185,1170013433.25,517757.332013,1174216484.5,410100.65097
numal-rnd_access,5311215054.5,2784058.29555,5312987329.67,5627485.16982,5316989421.,6941025.06547,5354686268.,1453680.02026,4049523087.57,119560663.885,4068728914.43,134512261.341
numal-simple_access,2198734998.67,2577797.91258,2210174710.33,2116423.36797,2241531986.25,23680139.7614,2197467028.,10217288.4904,2676759265.33,5455631.25976,2951923309.67,6238373.76908
patdiff,,,,,,,,,221553256.842,4768329.84697,,
sauvola-contrast,,,,,,,,,,,1688763.,nan
sequence,815496335.,618211.361402,821434941.6,1040840.54303,820129881.6,1327453.19073,820626562.,694123.985159,847796697.8,1536321.5233,845489404.,1062669.05589
sequence-cps,1131600126.5,5648515.12019,1138576808.5,5829992.53941,1130815763.75,4597735.35614,1127212012.25,1895140.58715,883181133.375,32134771.4337,868107397.6,3047668.12528
setrip,974790261.,4727112.09427,967206597.2,5888481.79429,970996682.4,8994283.61158,974424025.6,5009190.67241,896590720.2,7494383.79119,899916007.2,4091704.53401
setrip-smallbuf,979913872.4,14135147.7125,974053374.6,19196138.735,964956023.2,10352297.448,972888396.2,9378405.09531,911634079.6,14961596.2729,889148907.6,8026530.36738

size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,792701.,0.,792024.,0.,792024.,0.,793076.,0.,722528.,0.,722441.,0.
bdd,825354.,0.,824677.,0.,824677.,0.,825729.,0.,748629.,0.,748542.,0.
cpdf-merge,5426645.,0.,5425968.,0.,5425968.,0.,5429569.,0.,4915026.,0.,4914923.,0.
cpdf-reformat,5426645.,0.,5425968.,0.,5425968.,0.,5429569.,0.,4915026.,0.,4914923.,0.
cpdf-squeeze,5426645.,0.,5425968.,0.,5425968.,0.,5429569.,0.,4915026.,0.,4914923.,0.
cpdf-transform,5426645.,0.,5425968.,0.,5425968.,0.,5429569.,0.,4915026.,0.,4914923.,0.
frama-c-deflate,,,,,,,,,,,14161081.,0.
frama-c-idct,,,,,,,,,,,14161081.,0.
frama-c-monocypher,,,,,,,,,,,14161081.,0.
jsontrip-sample,1657656.,0.,1656979.,0.,1656979.,0.,1659572.,0.,1406280.,0.,1406209.,0.
kb,864299.,0.,863622.,0.,863622.,0.,864674.,0.,787718.,0.,787631.,0.
kb-no-exc,868290.,0.,867613.,0.,867613.,0.,868665.,0.,791477.,0.,791390.,0.
lexifi-g2pp,1002413.,0.,1001736.,0.,1001736.,0.,1002788.,0.,902422.,0.,902335.,0.
menhir-fancy,3996941.,0.,3971819.,0.,3971819.,0.,4000769.,0.,3274604.,0.,3274517.,0.
menhir-list-errors,3996941.,0.,3971819.,0.,,,4000769.,0.,,,3274517.,0.
menhir-sql,3996941.,0.,3971819.,0.,3971819.,0.,4000769.,0.,3274604.,0.,3274517.,0.
menhir-standard,3996941.,0.,3971819.,0.,3971819.,0.,4000769.,0.,3274604.,0.,3274517.,0.
menhir-sysver,3996941.,0.,3971819.,0.,,,4000769.,0.,,,3274517.,0.
minilight,1616597.,0.,1615920.,0.,1615920.,0.,1618545.,0.,1337413.,0.,1337342.,0.
numal-durand-kerner-aberth,954298.,0.,953621.,0.,953621.,0.,954673.,0.,844509.,0.,844422.,0.
numal-fft,821798.,0.,821121.,0.,821121.,0.,822173.,0.,746113.,0.,746026.,0.
numal-k-means,13646068.,0.,13645391.,0.,13645391.,0.,13646443.,0.,8398807.,0.,8398720.,0.
numal-levinson-durbin,540219.,0.,539542.,0.,539542.,0.,540594.,0.,503338.,0.,503251.,0.
numal-lu-decomposition,1529982.,0.,1529305.,0.,1529305.,0.,1530357.,0.,1210873.,0.,1210786.,0.
numal-naive-multilayer,1225999.,0.,1225322.,0.,1225322.,0.,1226374.,0.,1074920.,0.,1074833.,0.
numal-qr-decomposition,1026176.,0.,1025499.,0.,1025499.,0.,1026551.,0.,918819.,0.,918732.,0.
numal-rnd_access,518065.,0.,517388.,0.,517388.,0.,518440.,0.,458110.,0.,458023.,0.
numal-simple_access,424148.,0.,423471.,0.,423471.,0.,424523.,0.,387771.,0.,387684.,0.
patdiff,,,,,,,,,18398582.,0.,,
sauvola-contrast,,,,,,,,,,,1935177.,0.
sequence,954655.,0.,953978.,0.,953978.,0.,956587.,0.,859450.,0.,859363.,0.
sequence-cps,769502.,0.,768825.,0.,768825.,0.,769877.,0.,704281.,0.,704194.,0.
setrip,1369258.,0.,1368581.,0.,1368581.,0.,1371206.,0.,1168042.,0.,1167971.,0.
setrip-smallbuf,1369258.,0.,1368581.,0.,1368581.,0.,1371206.,0.,1168042.,0.,1167971.,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,606721.,0.,606068.,0.,606068.,0.,607096.,0.,528172.,0.,528085.,0.
bdd,638798.,0.,638145.,0.,638145.,0.,639173.,0.,554433.,0.,554346.,0.
