time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1668918810.33,1270647.32546,1685576088.6,33668689.0407,1668586097.67,772887.005315,1611065374.,19014356.7273
bdd,205962532.45,1255275.55865,205913458.95,1260070.59201,206536502.15,958739.234452,190751397.048,1334426.03388
cpdf-merge,5365895001.,nan,5377113190.,nan,5368945130.,nan,3929011655.33,4372643.14454
cpdf-reformat,7541228487.,nan,7566063717.,nan,7576444011.,nan,6520455400.,2694322.90948
cpdf-squeeze,11527054420.5,5698367.78151,11574092279.7,30910892.1924,11556740672.,2792194.97328,9439977646.,8301266.73393
cpdf-transform,2110736314.33,4127750.37364,2121850015.25,19469103.067,2109288356.,5711669.69621,2177254657.33,12220670.8443
jsontrip-sample,17937258.6996,561134.304675,18081462.1982,533761.880555,17867316.6295,283657.090626,15351101.6322,319137.909523
kb,459558729.778,1469196.07432,459987651.222,744112.487219,459553907.222,798524.174801,423950441.4,4218710.92182
kb-no-exc,297219624.,nan,305639538.,nan,304577349.,nan,284078425.6,1704620.09008
lexifi-g2pp,9870435385.75,81562145.9627,9824465160.5,4396140.13429,9834937481.,8418056.6572,9779658739.4,163597841.272
menhir-fancy,15995477.8805,2174217.46939,15678594.3711,1582552.17826,15048530.9699,168718.000259,10343391.5736,903994.924595
menhir-list-errors,197016416335.,nan,191412635914.,nan,,,,
menhir-sql,3292231932.,nan,3286810524.,nan,3305068893.,nan,3086766895.67,25653486.0777
menhir-standard,11586345.5809,868358.320295,11558519.4726,910126.023962,11477118.9169,92759.9051938,7799253.57505,80079.2361016
menhir-sysver,54524597909.,nan,52569296754.,nan,,,,
minilight,14546229099.,29838569.2684,14602049264.3,20218696.8629,14645574524.,1628434.39016,12543328391.,12566489.5832
numal-durand-kerner-aberth,82042977.7551,268046.460499,82124564.7755,227797.218443,82225682.1429,246940.999261,77618887.6538,291763.919717
numal-fft,2327090144.5,17637388.044,2350662597.33,14556912.6234,2356788833.67,15224874.5473,2215484507.,35061945.0729
