time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1658234317.,435520.451635,1685576088.6,33668689.0407,1668586097.67,772887.005315,1674410856.67,6554061.03608,1611065374.,19014356.7273,1603222939.33,2455237.37635,1605071435.67,4432494.87802,1608944622.67,10528005.8725,1602090286.,1140416.1633,1603416929.67,7896774.4714
bdd,204694503.4,711131.057203,205913458.95,1260070.59201,206536502.15,958739.234452,204125268.65,842968.487257,190751397.048,1334426.03388,190715870.,700707.777196,190870533.143,1010122.82524,209492617.6,1178706.42357,193191029.667,2735430.04052,211557787.737,2167202.78599
cpdf-merge,5356840738.,297699.025947,5377113190.,nan,5368945130.,nan,5374398276.,nan,3929011655.33,4372643.14454,4122279356.67,23408420.935,4069979170.33,10411827.3638,4137805018.33,8567357.54465,4263294039.67,4979852.66733,4151482361.67,8153991.8765
cpdf-reformat,7455149864.67,7847330.20673,7566063717.,nan,7576444011.,nan,7561460463.,nan,6520455400.,2694322.90948,6547418243.67,14126479.7137,6538265275.,2268654.5267,6539012925.67,26634555.0243,6592356090.,5815424.35939,6618009779.,22993836.3208
cpdf-squeeze,11380787698.,11712440.356,11574092279.7,30910892.1924,11556740672.,2792194.97328,11536074854.5,10039068.6228,9439977646.,8301266.73393,9416944702.67,28658778.1862,9333833494.,23920582.3588,9409609108.5,2445553.55147,9212392125.67,46282716.9567,9414897329.5,5455509.12908
cpdf-transform,2113178375.,5453278.01154,2121850015.25,19469103.067,2109288356.,5711669.69621,2105357898.5,1398420.33242,2177254657.33,12220670.8443,2141008882.5,1843546.8796,2146093001.5,20779185.6034,2133812932.67,8734631.32302,2145589865.67,9662633.82744,2164280766.,1933754.613
jsontrip-sample,17933651.0223,267093.778816,18081462.1982,533761.880555,17867316.6295,283657.090626,17702526.5752,287501.668418,15351101.6322,319137.909523,14533607.4674,432142.942166,,,,,,,,
kb,450085670.333,1542082.70222,459987651.222,744112.487219,459553907.222,798524.174801,459206308.556,2732999.09575,423950441.4,4218710.92182,428634493.3,1531714.66373,439862975.4,4435469.65367,420156967.8,3384475.38379,437109582.1,3740096.34981,427383893.1,2622419.35992
kb-no-exc,297425474.071,7915021.18285,305639538.,nan,304577349.,nan,295729169.,nan,284078425.6,1704620.09008,292566973.286,1939971.84212,290054821.071,2162741.2614,291824858.214,2287206.091,294500119.5,4266144.80684,293173114.357,2178143.7323
lexifi-g2pp,9881880723.,160083267.755,9824465160.5,4396140.13429,9834937481.,8418056.6572,9852296212.33,21039574.0786,9779658739.4,163597841.272,9752028289.,161119839.344,9724690116.6,234398691.123,9561838660.33,23674741.4283,9687433088.67,40101898.0757,9605542082.33,32870751.3352
